runIndex,capsuleCdScale,drogueCdScale,mainCdScale,mass_kg,densityScaleFactor,drogueDeployAltitudeOffset_m,mainDeployAltitudeOffset_m,touchdownVelocity_mps,totalDescentTime_s,peakDeceleration_g
162,0.98169064261414,0.974537703402463,0.951950756752065,6522.34201136886,0.999752544104726,-167.581513636941,-111.926719220075,9.23137949359931,344.318981902384,3.17392584431347
163,1.03665175273192,0.91522617189806,1.07024138280975,6499.5146527014,0.998835194639599,36.963113863807,129.87238637006,8.69624663367018,379.838384759703,3.04357460675411
164,0.969561841580439,1.03560323051181,1.01314639279916,6476.70282701694,1.02271779918131,118.970408642771,63.3807338633702,8.81774849949011,376.286889345027,3.33460536034613
165,1.07011634581885,1.07345884019196,1.04167259534301,6533.70133283637,1.01184828770016,72.0563087041202,47.4445512860737,8.7795156524491,378.118486324719,3.16455607777771
166,1.05054332791153,0.931721021058615,1.07617415183979,6537.18435277452,0.971754836982074,130.326700225905,-148.452053010622,8.81757009440103,351.953777315943,3.00939260170995
167,0.967023770851828,1.04870165125832,0.932151979209662,6531.79670241191,1.01992805067746,2.98709350433448,-197.445651313267,9.24272161660081,342.26050029611,3.36192075255377
168,0.957407626634983,1.02338538367515,1.09623723560548,6513.18135270167,0.98558821486385,53.6022812398445,15.9941518863422,8.66130253456039,373.360109799612,3.35850085014788
169,1.05596907903023,0.921396127765392,1.05220558050041,6504.12665786761,1.02777952023154,-63.2511335845256,53.0487572535792,8.64834833160675,376.553504936322,2.9562423468982
170,1.086405621102,0.920501945598136,1.08744569744729,6518.78857223008,0.97407022354631,-79.6145732212735,83.2688354581126,8.74843230038259,373.09348976743,3.05429626184035
171,0.913470120293754,1.01643409203525,0.969176611390591,6512.09155177675,0.972744522028751,148.614722460951,189.395587670959,9.26999144202199,367.860272953511,3.47526084347153
172,1.09377557105714,1.04993036634859,0.926017248026126,6525.8263195929,0.971475214987528,-191.150579388401,-70.5559123401835,9.49392755009709,344.152941093486,3.06379159896213
173,0.997728638080933,1.05408148356156,1.0366590753213,6494.59027063767,0.9864175999769,198.849800063084,-29.5274791056108,8.88826924428532,365.831461466198,3.32503981022837
174,0.990277404865935,0.932724764238334,1.05896190974999,6519.36822257815,0.983246176767326,-167.047581753663,72.1997208298852,8.82574195486167,368.423472715106,3.07605893938091
