time_s,x_m,y_m,altitude_m,vx_mps,vy_mps,velocityDown_mps,stageId,windX_mps,windY_mps,theta_deg,horizontalDrift_m
26.7377185305458,3.29795039888298e-15,53.8596173391241,8800.92079572998,2.36148911479149e-16,3.85660439636252,118.578464358531,1,3.06161699786838e-16,5,-0.367041702994364,53.8596173391241
26.8425468532159,3.32274382757474e-15,54.2645247574757,8788.54202817066,2.3687901035542e-16,3.86852781586241,117.676438362798,1,3.06161699786838e-16,5,-0.384085620433643,54.2645247574757
26.9468799077543,3.34749571588995e-15,54.6687537699949,8776.31926301368,2.37598100056043e-16,3.88027144187971,116.805980075032,1,3.06161699786838e-16,5,-0.399394416393753,54.6687537699949
27.0512129622928,3.3723222390277e-15,55.0742016616651,8764.17433681555,2.38309726274413e-16,3.89189317998191,115.957174462083,1,3.06161699786838e-16,5,-0.413027811912818,55.0742016616651
27.1555460168312,3.39722262237151e-15,55.4808557820392,8752.1059146654,2.39013966472176e-16,3.90339429521372,115.129554975709,1,3.06161699786838e-16,5,-0.424967500999758,55.4808557820392
27.2598790713697,3.42219609927303e-15,55.8887036107994,8740.14621601315,2.39710897314169e-16,3.91477603960693,114.331771139196,1,3.06161699786838e-16,5,-0.43520152979234,55.8887036107994
27.3648521001462,3.44739576257638e-15,56.3002453438263,8728.19324020428,2.40404803076036e-16,3.92610838069253,113.550853216445,1,3.06161699786838e-16,5,-0.443771147887115,56.3002453438263
27.4698251289228,3.47266788630269e-15,56.7129704453644,8716.3062625142,2.41091462795605e-16,3.93732238492702,112.78778337871,1,3.06161699786838e-16,5,-0.45060866699465,56.7129704453644
27.5747981576994,3.4980117138145e-15,57.1268665585858,8704.5003168392,2.41770952136626e-16,3.94841928799318,112.046514714244,1,3.06161699786838e-16,5,-0.455720596128723,57.1268665585858
27.679771186476,3.52342649630451e-15,57.5419214545395,8692.78765817768,2.42443345979826e-16,3.9594003127861,111.330097946733,1,3.06161699786838e-16,5,-0.459119468523588,57.5419214545395
27.7865824343617,3.5493583905283e-15,57.96542142599,8680.9330199565,2.43120307878351e-16,3.97045593958389,110.617829311996,1,3.06161699786838e-16,5,-0.460838572469992,57.96542142599
27.8933936822474,3.57536220712673e-15,58.3900959789555,8669.14238870631,2.43790077539412e-16,3.98139410823019,109.922432590623,1,3.06161699786838e-16,5,-0.460828710126477,58.3900959789555
28.0002049301331,3.60143718200027e-15,58.8159326347439,8657.44992261353,2.44452731372961e-16,3.99221606659419,109.252686780483,1,3.06161699786838e-16,5,-0.459121266956088,58.8159326347439
28.1070161780188,3.6275825590932e-15,59.2429190460281,8645.81856311621,2.45108344984571e-16,4.00292304940861,108.598755736817,1,3.06161699786838e-16,5,-0.455753235175488,59.2429190460281
28.2170692331903,3.65459431892758e-15,59.6840545612343,8633.89306210865,2.45776572044938e-16,4.01383602547374,107.940175442785,1,3.06161699786838e-16,5,-0.450590905330095,59.6840545612343
28.3271222883618,3.6816792160257e-15,60.1263844986005,8622.05270531994,2.46437485378929e-16,4.02462955932288,107.303419964329,1,3.06161699786838e-16,5,-0.443763152706382,60.1263844986005
28.4371753435333,3.70883644992955e-15,60.5698957856549,8610.28465862686,2.47091165032349e-16,4.03530495820319,106.685024697811,1,3.06161699786838e-16,5,-0.435327811129035,60.5698957856549
28.5472283987048,3.73606522885936e-15,61.014575491653,8598.57275915744,2.47737690183171e-16,4.04586351518913,106.080811717167,1,3.06161699786838e-16,5,-0.425347750131185,61.014575491653
28.6530272888217,3.76230818466138e-15,61.443155484191,8587.37588810394,2.48352551406346e-16,4.0559049609938,105.515624304841,1,3.06161699786838e-16,5,-0.414360179754102,61.443155484191
28.7588261789386,3.78861584920592e-15,61.8727922506914,8576.25070232572,2.48960941755269e-16,4.06584072940223,104.968297961519,1,3.06161699786838e-16,5,-0.402072016456312,61.8727922506914
28.8646250690556,3.81498754151164e-15,62.3034746698849,8565.16584363784,2.49562929328073e-16,4.07567193254135,104.430968914248,1,3.06161699786838e-16,5,-0.388551093831486,62.3034746698849
28.9704239591725,3.84142258769907e-15,62.7351917364847,8554.14639178929,2.50158581512706e-16,4.08539967093984,103.909782770887,1,3.06161699786838e-16,5,-0.373868286298126,62.7351917364847
29.0716811480932,3.86678155581575e-15,63.1493351145483,8543.65507496477,2.50722792008598e-16,4.09461392759383,103.424441025326,1,3.06161699786838e-16,5,-0.358795756539444,63.1493351145483
29.1729383370139,3.89219736604483e-15,63.5644067947547,8533.19450427437,2.51281318293251e-16,4.10373535403355,102.946603294009,1,3.06161699786838e-16,5,-0.342793812352935,63.5644067947547
29.2741955259347,3.91766944573948e-15,63.9803974250718,8522.80649608837,2.51834217631345e-16,4.1127648854622,102.486341831873,1,3.06161699786838e-16,5,-0.325931502923786,63.9803974250718
29.3754527148554,3.94319722797227e-15,64.3972977468717,8512.44836777962,2.52381546715627e-16,4.12170344774256,102.033250246823,1,3.06161699786838e-16,5,-0.308279350236035,64.3972977468717
29.4744935052966,3.9682195856545e-15,64.8059438593615,8502.36312872237,2.52911560622376e-16,4.1303592317142,101.601153232723,1,3.06161699786838e-16,5,-0.290318559948127,64.8059438593615
29.5735342957378,3.99329417725272e-15,65.2154430164355,8492.32642505356,2.53436351137527e-16,4.13892971122742,101.180592737792,1,3.06161699786838e-16,5,-0.271739615977178,65.2154430164355
29.6725750861791,4.0184204880054e-15,65.6257868114004,8482.31356085772,2.5395596973723e-16,4.14741572695154,100.765698717278,1,3.06161699786838e-16,5,-0.252611871735737,65.6257868114004
29.7716158766203,4.04359800818134e-15,66.0369669197135,8472.36636747782,2.54470467394609e-16,4.15581811134085,100.366267942738,1,3.06161699786838e-16,5,-0.23300506836291,66.0369669197135
29.8699020592499,4.06863382471192e-15,66.4458328318772,8462.51319791177,2.54976032215495e-16,4.1640746114393,99.9741421296433,1,3.06161699786838e-16,5,-0.213143171360202,66.4458328318772
29.9681882418796,4.09371908789491e-15,66.8555062691564,8452.71330818599,2.55476652371141e-16,4.1722503590262,99.5944438475078,1,3.06161699786838e-16,5,-0.192947432441313,66.8555062691564
30.0664744245092,4.11885331413141e-15,67.2659793337821,8442.93971784649,2.55972376221436e-16,4.18034614387845,99.2208218154617,1,3.06161699786838e-16,5,-0.172486540550998,67.2659793337821
30.1647606071388,4.14403602451279e-15,67.6772442045826,8433.20626734684,2.56463251657242e-16,4.18836274811321,98.8564737528913,1,3.06161699786838e-16,5,-0.1518286833127,67.6772442045826
30.2633668369622,4.16934898097817e-15,68.0906361553558,8423.47822190223,2.56950901103934e-16,4.19632666794757,98.4994286585016,1,3.06161699786838e-16,5,-0.130973700953876,68.0906361553558
30.3619730667856,4.1947097864289e-15,68.5048095393614,8413.77705212743,2.5743376565209e-16,4.20421244445869,98.1485333940149,1,3.06161699786838e-16,5,-0.110056471027874,68.5048095393614
30.4605792966089,4.22011797137535e-15,68.9197566892521,8404.12308480009,2.57911892250674e-16,4.2120208443813,97.8083357974724,1,3.06161699786838e-16,5,-0.0891438311392421,68.9197566892521
30.5591855264323,4.24557307089593e-15,69.3354700122821,8394.4833362692,2.58385327391846e-16,4.21975262698998,97.4713606601744,1,3.06161699786838e-16,5,-0.0683013048211284,69.3354700122821
30.6591005010233,4.27141340265364e-15,69.7574746551834,8384.77412312093,2.58860308061568e-16,4.22750964999536,97.1430380481885,1,3.06161699786838e-16,5,-0.0473194378400268,69.7574746551834
